公式ID,カード名,種別,レアリティ,APIID,UnityアプリID
PR-046,闇の加護,メモリア,P,464,NCBP338_0,
PR-047,メンタルブレイク,メモリア,P,465,NCBP253_0,
PR-053,CR LIVE 2026,メモリア,P,460,NCP1,
PR-054,三銃士,アタック,P,471,NCBP206_1,
PR-056,鬼の猛追,アタック,P,473,NCBP316_0,
PR-057,逆転の一矢,アタック,P,474,NCBP323_0,
PR-058,バックステージパス,メモリア,P,475,NCBP331_0,
PR-059,闘技場の主,メモリア,P,476,NCBP337_0,
LO-006,英リサ,リーダー,P,598,LC12_1,
LO-009,VanilLa,リーダー,P,599,LC17_1,
BP01-001,うるか,リーダー,LR,1,LC1_0,
BP01-002,小森めと,リーダー,LR,2,LC2_0,
BP01-003,橘ひなの,リーダー,LR,3,LC4_0,
BP01-004,ふらんしすこ,リーダー,LR,4,LC5_0,
BP01-005,Kamito,リーダー,LR,5,LC8_0,
BP01-006,渋谷ハル,リーダー,LR,6,LC10_0,
BP01-007,白雪レイド,リーダー,LR,7,LC11_0,
BP01-008,英リサ,リーダー,LR,8,LC12_0,
BP01-009,胡桃のあ,リーダー,LR,9,LC13_0,
BP01-010,ごっちゃん@マイキー,リーダー,LR,10,LC14_0,
BP01-011,兎咲ミミ,リーダー,LR,11,LC16_0,
BP01-012,VanilLa,リーダー,LR,12,LC17_0,
BP01-013,空澄セナ,リーダー,LR,13,LC19_0,
BP01-014,ありさか,リーダー,LR,14,LC20_0,
BP01-015,だるまいずごっど,リーダー,LR,15,LC23_0,
BP01-016,nqrse,リーダー,LR,16,LC24_0,
BP01-017,一騎当千,アタック,SR,17,NCBP101,
BP01-018,エレガントドミネート,アタック,C,18,NCBP102,
BP01-019,インパクトショット,アタック,C,19,NCBP103,
BP01-020,大黒柱,アタック,C,20,NCBP104,
BP01-021,ギャングの襲撃,アタック,UC,21,NCBP105,
BP01-022,壁ジャンプ,アタック,R,22,NCBP106,
BP01-023,だまし討ち,アタック,R,23,NCBP107,
BP01-024,ハイグラバースト,アタック,C,24,NCBP108,
BP01-025,キリングスプリー,アタック,UC,25,NCBP109,
BP01-026,CLUTCH!!!,アタック,SR,26,NCBP110,
BP01-027,フラッシュバン,アタック,C,27,NCBP111,
BP01-028,リスキーエントリー,アタック,C,28,NCBP112,
BP01-029,うるパーンチッ！,アタック,R,29,NCBP113,
BP01-030,神速フリック,アタック,UC,30,NCBP114,
BP01-031,勝利の一撃,アタック,C,31,NCBP115,
BP01-032,ドリル開錠,アタック,R,32,NCBP116
BP01-033,ブリッツブラスト,アタック,C,33,NCBP117
BP01-034,巧みな裏取り,アタック,UC,34,NCBP118
BP01-035,ロケットランチャー,アタック,SR,35,NCBP119
BP01-036,カウンタースナイプ,アタック,C,36,NCBP120
BP01-037,ヴェノムスモーク,アタック,C,37,NCBP121
BP01-038,クラッチクイーン,アタック,C,38,NCBP122
BP01-039,アジト急襲,アタック,C,39,NCBP123
BP01-040,Lastman Standing,アタック,R,40,NCBP124
BP01-041,固定砲台みみたや,アタック,UC,41,NCBP125
BP01-042,ウォールブレイカー,アタック,UC,42,NCBP126
BP01-043,ブービートラップ,アタック,R,43,NCBP127
BP01-044,リンク・アサルト,アタック,SR,44,NCBP128
BP01-045,クレイジーバースト,アタック,C,45,NCBP129
BP01-046,クリティカルショット,アタック,C,46,NCBP130
BP01-047,いたずらドローン,アタック,R,47,NCBP131
BP01-048,スリフティプレイ,アタック,UC,48,NCBP132
BP01-049,冷静沈着,アタック,UC,49,NCBP133
BP01-050,ブラインドショット,アタック,C,50,NCBP134
BP01-051,コンビネーションアタック,アタック,R,51,NCBP135
BP01-052,スタンプキル,アタック,C,52,NCBP136
BP01-053,超新星,メモリア,SR,53,NCBP137
BP01-054,胴だよ胴！,メモリア,C,54,NCBP138
BP01-055,偉大な栄冠,メモリア,C,55,NCBP139
BP01-056,何も知らない,メモリア,C,56,NCBP140
BP01-057,新たなる場所へ,メモリア,R,57,NCBP141
BP01-058,危機一髪,メモリア,UC,58,NCBP142
BP01-059,笑ってはいけない,メモリア,C,59,NCBP143
BP01-060,副音声,メモリア,UC,60,NCBP144
BP01-061,逃走成功,メモリア,R,61,NCBP145
BP01-062,Never Fall,メモリア,SR,62,NCBP146
BP01-063,苦難の昇格,メモリア,C,63,NCBP147
BP01-064,ゾーン状態,メモリア,C,64,NCBP148
BP01-065,汚部屋の住人,メモリア,C,65,NCBP149
BP01-066,博聞強記,メモリア,UC,66,NCBP150
BP01-067,いつも安全運転,メモリア,R,67,NCBP151
BP01-068,運命のルーレット,メモリア,C,68,NCBP152
BP01-069,運もミスもない,メモリア,R,69,NCBP153
BP01-070,BEAUTY SALON -HANABUSA-,メモリア,UC,70,NCBP154
BP01-071,先導者の証,メモリア,SR,71,NCBP155
BP01-072,花火づくり,メモリア,C,72,NCBP156
BP01-073,福男,メモリア,C,73,NCBP157
BP01-074,来てくれてありがとう,メモリア,R,74,NCBP158
BP01-075,開店セレモニー,メモリア,R,75,NCBP159
BP01-076,優勝請負人,メモリア,UC,76,NCBP160
BP01-077,777,メモリア,C,77,NCBP161
BP01-078,偶然の邂逅,メモリア,UC,78,NCBP162
BP01-079,小さなビデオレター,メモリア,C,79,NCBP163
BP01-080,勝利へのジャンプ,メモリア,SR,80,NCBP164
BP01-081,喧嘩上等,メモリア,C,81,NCBP165
BP01-082,登頂成功,メモリア,C,82,NCBP166
BP01-083,バトンを繋いで,メモリア,C,83,NCBP167
BP01-084,引っ張り合い,メモリア,UC,84,NCBP168
BP01-085,風紀チェック,メモリア,R,85,NCBP169
BP01-086,なずNEWS,メモリア,R,86,NCBP170
BP01-087,丸太椅子最,メモリア,C,87,NCBP171
BP01-088,モラルからのハミダシ,メモリア,UC,88,NCBP172
BP01-089,アドレナリン,タクティクス,TR,89,TC1
BP01-090,エナジーチャージャー,タクティクス,TR,90,TC2
BP01-091,救急キット,タクティクス,TR,91,TC3
BP01-092,ストラテジックレーダー,タクティクス,TR,92,TC4
BP01-093,ジャミングパルス,タクティクス,TR,93,TC5
BP01-094,復活ポータル,タクティクス,TR,94,TC6
BP01-095,ライトシールド,タクティクス,TR,95,TC7
BP01-096,ボディアーマー,タクティクス,TR,96,TC8
BP01-097,PPチケット,タクティクス,TR,97,TC9
BP01-101,うるか,リーダー,LRP,101,LC1
BP01-102,小森めと,リーダー,LRP,102,LC2
BP01-103,Selly,リーダー,LRP,103,LC3
BP01-104,橘ひなの,リーダー,LRP,104,LC4
BP01-105,ふらんしすこ,リーダー,LRP,105,LC5
BP01-106,Mondo,リーダー,LRP,106,LC6
BP01-107,小森めと,リーダー,LRPP,107,LC2_1
BP01-108,橘ひなの,リーダー,LRPP,108,LC4_1
BP01-109,一ノ瀬うるは,リーダー,LRP,109,LC7
BP01-110,Kamito,リーダー,LRP,110,LC8
BP01-111,小雀とと,リーダー,LRP,111,LC9
BP01-112,渋谷ハル,リーダー,LRP,112,LC10
BP01-113,白雪レイド,リーダー,LRP,113,LC11
BP01-114,英リサ,リーダー,LRP,114,LC12
BP01-115,一ノ瀬うるは,リーダー,LRPP,115,LC7_1
BP01-116,渋谷ハル,リーダー,LRPP,116,LC10_1
BP01-117,胡桃のあ,リーダー,LRP,117,LC13
BP01-118,ごっちゃん@マイキー,リーダー,LRP,118,LC14
BP01-119,Cpt,リーダー,LRP,119,LC15
BP01-120,兎咲ミミ,リーダー,LRP,120,LC16
BP01-121,VanilLa,リーダー,LRP,121,LC17
BP01-122,Ras,リーダー,LRP,122,LC18
BP01-123,胡桃のあ,リーダー,LRPP,123,LC13_1
BP01-124,Ras,リーダー,LRPP,124,LC18_1
BP01-125,空澄セナ,リーダー,LRP,125,LC19
BP01-126,ありさか,リーダー,LRP,126,LC20
BP01-127,花芽すみれ,リーダー,LRP,127,LC21
BP01-128,花芽なずな,リーダー,LRP,128,LC22
BP01-129,だるまいずごっど,リーダー,LRP,129,LC23
BP01-130,nqrse,リーダー,LRP,130,LC24
BP01-131,ありさか,リーダー,LRPP,131,LC20_1
BP01-132,だるまいずごっど,リーダー,LRPP,132,LC23_1
BP01-133,一騎当千,アタック,SRP,133,NCBP101_0
BP01-134,CLUTCH!!!,アタック,SRP,134,NCBP110_0
BP01-135,ロケットランチャー,アタック,SRP,135,NCBP119_0
BP01-136,リンク・アサルト,アタック,SRP,136,NCBP128_0
BP01-137,超新星,メモリア,SRP,137,NCBP137_0
BP01-138,Never Fall,メモリア,SRP,138,NCBP146_0
BP01-139,先導者の証,メモリア,SRP,139,NCBP155_0
BP01-140,勝利へのジャンプ,メモリア,SRP,140,NCBP164_0
BP02-001,赤見かるび,リーダー,LR,210,LC25_0
BP02-002,如月れん,リーダー,LR,211,LC26_0
BP02-003,立川,リーダー,LR,212,LC27_0
BP02-004,蝶屋はなび,リーダー,LR,213,LC28_0
BP02-005,あれる,リーダー,LR,214,LC29_0
BP02-006,かずのこ,リーダー,LR,215,LC30_0
BP02-007,Shuto,リーダー,LR,216,LC31_0
BP02-008,トナカイト,リーダー,LR,217,LC32_0
BP02-009,甘結もか,リーダー,LR,218,LC33_0
BP02-010,神成きゅぴ,リーダー,LR,219,LC34_0
BP02-011,kinako,リーダー,LR,220,LC35_0
BP02-012,わいわい,リーダー,LR,221,LC36_0
BP02-013,天鬼ぷるる,リーダー,LR,222,LC37_0
BP02-014,どぐら,リーダー,LR,223,LC38_0
BP02-015,ボンちゃん,リーダー,LR,224,LC39_0
BP02-016,八雲べに,リーダー,LR,225,LC40_0
BP02-017,ビクトリーランページ,アタック,SR,226,NCBP201
BP02-018,サイコフォートレス,アタック,UC,227,NCBP241
BP02-019,エトワール・タチカワ,アタック,C,228,NCBP242
BP02-020,猪突猛進,アタック,C,229,NCBP212
BP02-021,うっかりアッパー,アタック,R,230,NCBP210
BP02-022,油断大敵,アタック,C,231,NCBP232
BP02-023,圧倒的わたし！！,アタック,C,232,NCBP230
BP02-024,三銃士,アタック,SR,233,NCBP206
BP02-025,ヘンディーブロー,アタック,UC,234,NCBP243
BP02-026,ドレッドフォーム,アタック,C,235,NCBP244
BP02-027,不撓不屈,アタック,C,236,NCBP216
BP02-028,逆境の1ドット,アタック,R,237,NCBP226
BP02-029,カウンターブロー,アタック,UC,238,NCBP228
BP02-030,ミラクルナイフ,アタック,C,239,NCBP214
BP02-031,勝利の雄たけび,アタック,SR,240,NCBP203
BP02-032,アンストッパブル,アタック,UC,241,NCBP245
BP02-033,ダイナミック薪割り,アタック,C,242,NCBP246
BP02-034,ヘヴィーインパクト,アタック,UC,243,NCBP234
BP02-035,デッドリーキャンプ,アタック,R,244,NCBP236
BP02-036,スウィートドリーム,アタック,C,245,NCBP220
BP02-037,ベテランの意地,アタック,UC,246,NCBP218
BP02-038,オールスターコンボ,アタック,SR,247,NCBP208
BP02-039,ポイズンボム,アタック,UC,248,NCBP247
BP02-040,マシンガントーク,アタック,C,249,NCBP248
BP02-041,エアリアルアックス,アタック,C,250,NCBP222
BP02-042,大将の威厳,アタック,C,251,NCBP238
BP02-043,マウントタックル,アタック,UC,252,NCBP240
BP02-044,セクシーアローべにショット,アタック,R,253,NCBP224
BP02-045,巡り合う二人,メモリア,SR,254,NCBP205
BP02-046,いただきま～す！,メモリア,UC,255,NCBP249
BP02-047,ケーキのおうち,メモリア,C,256,NCBP250
BP02-048,ちる！,メモリア,UC,257,NCBP211
BP02-049,究極自摸,メモリア,C,258,NCBP209
BP02-050,邪念払拭,メモリア,R,259,NCBP231
BP02-051,初めての歓声,メモリア,UC,260,NCBP229
BP02-052,恐怖の迷宮,メモリア,SR,261,NCBP202
BP02-053,天賦の竹槍,メモリア,UC,262,NCBP251
BP02-054,焦土の王者,メモリア,C,263,NCBP252
BP02-055,やさぐれメイド,メモリア,UC,264,NCBP215
BP02-056,美味しいよね,メモリア,C,265,NCBP225
BP02-057,愛弟子の栄冠,メモリア,C,266,NCBP227
BP02-058,メンターの教え,メモリア,R,267,NCBP213
BP02-059,逆転のハイドギャル,メモリア,SR,268,NCBP207
BP02-060,メンタルブレイク,メモリア,UC,269,NCBP253
BP02-061,ワザでんがや,メモリア,C,270,NCBP254
BP02-062,クッキングパニック,メモリア,C,271,NCBP233
BP02-063,ギャルスタイル,メモリア,C,272,NCBP235
BP02-064,デルボーモッパイ,メモリア,R,273,NCBP219
BP02-065,パッションコール,メモリア,C,274,NCBP217
BP02-066,流行語大賞,メモリア,SR,275,NCBP204
BP02-067,伝道者,メモリア,UC,276,NCBP255
BP02-068,Just Eat Chicken!,メモリア,C,277,NCBP256
BP02-069,換気,メモリア,R,278,NCBP221
BP02-070,1先の悪魔,メモリア,UC,279,NCBP237
BP02-071,無敵の師弟,メモリア,C,280,NCBP239
BP02-072,トリプルティアラ,メモリア,C,281,NCBP223
BP02-073,エナジーチャージャー,タクティクス,TR,282,TC2_0
BP02-074,ストラテジックレーダー,タクティクス,TR,283,TC4_0
BP02-075,復活ポータル,タクティクス,TR,284,TC6_0
BP02-076,ドレインロッド,タクティクス,TUC,285,TC15
BP02-077,オートタレット,タクティクス,TUC,286,TC11
BP02-078,盗賊キット,タクティクス,TUC,287,TC12
BP02-079,ヒーリングオーブ,タクティクス,TUC,288,TC13
BP02-080,メリケンサック,タクティクス,TUC,289,TC14
BP02-081,PPチケット,タクティクス,TUC,290,TC9
BP02-083,赤見かるび,リーダー,LRP,292,LC25
BP02-084,如月れん,リーダー,LRP,293,LC26
BP02-085,立川,リーダー,LRP,294,LC27
BP02-086,蝶屋はなび,リーダー,LRP,295,LC28
BP02-087,赤見かるび,リーダー,LRPP,296,LC25_1
BP02-088,如月れん,リーダー,LRPP,297,LC26_1
BP02-089,あれる,リーダー,LRP,298,LC29
BP02-090,かずのこ,リーダー,LRP,299,LC30
BP02-091,Shuto,リーダー,LRP,300,LC31
BP02-092,トナカイト,リーダー,LRP,301,LC32
BP02-093,トナカイト,リーダー,LRPP,302,LC32_1
BP02-094,甘結もか,リーダー,LRP,303,LC33
BP02-095,神成きゅぴ,リーダー,LRP,304,LC34
BP02-096,kinako,リーダー,LRP,305,LC35
BP02-097,わいわい,リーダー,LRP,306,LC36
BP02-098,甘結もか,リーダー,LRPP,307,LC33_1
BP02-099,kinako,リーダー,LRPP,308,LC35_1
BP02-100,天鬼ぷるる,リーダー,LRP,309,LC37
BP02-101,どぐら,リーダー,LRP,310,LC38
BP02-102,ボンちゃん,リーダー,LRP,311,LC39
BP02-103,八雲べに,リーダー,LRP,312,LC40
BP02-104,花芽なずな,リーダー,LRPP,313,LC22_1
BP02-105,ビクトリーランページ,アタック,SRP,314,NCBP201_0
BP02-106,三銃士,アタック,SRP,315,NCBP206_0
BP02-107,勝利の雄たけび,アタック,SRP,316,NCBP203_0
BP02-108,オールスターコンボ,アタック,SRP,317,NCBP208_0
BP02-109,巡り合う二人,メモリア,SRP,318,NCBP205_0
BP02-110,恐怖の迷宮,メモリア,SRP,319,NCBP202_0
BP02-111,逆転のハイドギャル,メモリア,SRP,320,NCBP207_0
BP02-112,流行語大賞,メモリア,SRP,321,NCBP204_0
BP03-001,天月,リーダー,LR,342,LC41_0
BP03-002,紫宮るな,リーダー,LR,343,LC42_0
BP03-003,緋月ゆい,リーダー,LR,344,LC43_0
BP03-004,rion,リーダー,LR,345,LC44_0
BP03-005,ズズ,リーダー,LR,346,LC45_0
BP03-006,紡木こかげ,リーダー,LR,347,LC46_0
BP03-007,柊ツルギ,リーダー,LR,348,LC47_0
BP03-008,平岩康佑,リーダー,LR,349,LC48_0
BP03-009,藍沢エマ,リーダー,LR,350,LC49_0
BP03-010,鬼ヶ谷テン,リーダー,LR,351,LC50_0
BP03-011,ととみっくす,リーダー,LR,352,LC51_0
BP03-012,猫麦とろろ,リーダー,LR,353,LC52_0
BP03-013,絲依とい,リーダー,LR,354,LC53_0
BP03-014,けんき,リーダー,LR,355,LC54_0
BP03-015,猫汰つな,リーダー,LR,356,LC56_0
BP03-016,夜絆ニウ,リーダー,LR,357,LC55_0
BP03-017,ストームラッシュ,アタック,SR,358,NCBP301
BP03-018,ノーエスケープ,アタック,C,359,NCBP302
BP03-019,コードブレイカー,アタック,C,360,NCBP303
BP03-020,縦横無尽,アタック,C,361,NCBP304
BP03-021,抜群のウデマエ,アタック,C,362,NCBP305
BP03-022,ピアッシングバレット,アタック,UC,363,NCBP306
BP03-023,影と道連れ,アタック,R,364,NCBP307
BP03-024,頂きの景色,アタック,SR,365,NCBP308
BP03-025,短気な爆弾魔,アタック,C,366,NCBP309
BP03-026,キャスターズフューリー,アタック,C,367,NCBP310
BP03-027,仁義なき抗争,アタック,UC,368,NCBP311
BP03-028,パワーセットアップ,アタック,C,369,NCBP312
BP03-029,漢の強行突破,アタック,C,370,NCBP313
BP03-030,セルフ実況,アタック,R,371,NCBP314
BP03-031,ソニックチェイサー,アタック,SR,372,NCBP315
BP03-032,鬼の猛追,アタック,C,373,NCBP316
BP03-033,勝利の抜刀,アタック,C,374,NCBP317
BP03-034,ツーマンセル,アタック,R,375,NCBP318
BP03-035,船上の乱戦,アタック,UC,376,NCBP319
BP03-036,潜入開始,アタック,C,377,NCBP320
BP03-037,Tango Down,アタック,C,378,NCBP321
BP03-038,強奪の宴,アタック,SR,379,NCBP322
BP03-039,逆転の一矢,アタック,C,380,NCBP323
BP03-040,デッドサイレンス,アタック,C,381,NCBP324
BP03-041,ルーキーチェイス,アタック,UC,382,NCBP325
BP03-042,ブリーチングフォース,アタック,R,383,NCBP326
BP03-043,スペシャルコントラクト,アタック,C,384,NCBP327
BP03-044,ロケットシャワー,アタック,C,385,NCBP328
BP03-045,メカニカルエキスパート,メモリア,SR,386,NCBP329
BP03-046,足元にご注意,メモリア,C,387,NCBP330
BP03-047,バックステージパス,メモリア,C,388,NCBP331
BP03-048,栄光の旗手,メモリア,R,389,NCBP332
BP03-049,カーコレクター,メモリア,UC,390,NCBP333
BP03-050,祭典の開幕,メモリア,C,391,NCBP334
BP03-051,露骨な挑発,メモリア,C,392,NCBP335
BP03-052,参拝・乾杯・超喝采,メモリア,SR,393,NCBP336
BP03-053,闘技場の主,メモリア,C,394,NCBP337
BP03-054,闇の加護,メモリア,C,395,NCBP338
BP03-055,22HZ♪,メモリア,C,396,NCBP339
BP03-056,シャンパンコール！,メモリア,C,397,NCBP340
BP03-057,救いの手,メモリア,R,398,NCBP341
BP03-058,彼こそがロック,メモリア,UC,399,NCBP342
BP03-059,We are...!,メモリア,SR,400,NCBP343
BP03-060,戦場のお茶会,メモリア,C,401,NCBP344
BP03-061,セレブリティーエレガンス,メモリア,C,402,NCBP345
BP03-062,掴んだ運命,メモリア,C,403,NCBP346
BP03-063,極上のアゲ↑↑,メモリア,C,404,NCBP347
BP03-064,引率のお兄さん,メモリア,UC,405,NCBP348
BP03-065,ノブレス・オブリージュ,メモリア,R,406,NCBP349
BP03-066,ジェイルブレイク,メモリア,SR,407,NCBP350
BP03-067,気まずい空間,メモリア,C,408,NCBP351
BP03-068,かるび人狼,メモリア,C,409,NCBP352
BP03-069,アクアリウムツアー,メモリア,C,410,NCBP353
BP03-070,大人気キッチンカー,メモリア,C,411,NCBP354
BP03-071,街角の芸術家,メモリア,R,412,NCBP355
BP03-072,ストレイ・プリンセス,メモリア,UC,413,NCBP356
BP03-073,救急キット,タクティクス,TSR,414,TC3_0
BP03-074,アドレナリン,タクティクス,TR,415,TC1_0
BP03-075,ジャミングパルス,タクティクス,TR,416,TC5_0
BP03-076,追加マガジン,タクティクス,TUC,417,TC16
BP03-077,パワーフィールド,タクティクス,TUC,418,TC17
BP03-078,ファイヤークラッカー,タクティクス,TUC,419,TC18
BP03-079,ターゲットフラッグ,タクティクス,TUC,420,TC19
BP03-080,サイバネアーマー,タクティクス,TUC,421,TC20
BP03-082,天月,リーダー,LRP,423,LC41
BP03-083,紫宮るな,リーダー,LRP,424,LC42
BP03-084,緋月ゆい,リーダー,LRP,425,LC43
BP03-085,rion,リーダー,LRP,426,LC44
BP03-086,天月,リーダー,LRPP,427,LC41_1
BP03-087,rion,リーダー,LRPP,428,LC44_1
BP03-088,ズズ,リーダー,LRP,429,LC45
BP03-089,紡木こかげ,リーダー,LRP,430,LC46
BP03-090,柊ツルギ,リーダー,LRP,431,LC47
BP03-091,平岩康佑,リーダー,LRP,432,LC48
BP03-092,柊ツルギ,リーダー,LRPP,433,LC47_1
BP03-093,藍沢エマ,リーダー,LRP,434,LC49
BP03-094,鬼ヶ谷テン,リーダー,LRP,435,LC50
BP03-095,ととみっくす,リーダー,LRP,436,LC51
BP03-096,猫麦とろろ,リーダー,LRP,437,LC52
BP03-097,藍沢エマ,リーダー,LRPP,438,LC49_1
BP03-098,猫麦とろろ,リーダー,LRPP,439,LC52_1
BP03-099,わいわい,リーダー,LRPP,440,LC36_1
BP03-100,絲依とい,リーダー,LRP,441,LC53
BP03-101,けんき,リーダー,LRP,442,LC54
BP03-102,猫汰つな,リーダー,LRP,443,LC56
BP03-103,夜絆ニウ,リーダー,LRP,444,LC55
BP03-104,猫汰つな,リーダー,LRPP,445,LC56_1
BP03-105,花芽すみれ,リーダー,LRPP,446,LC21_1
BP03-106,ストームラッシュ,アタック,SRP,447,NCBP301_0
BP03-107,頂きの景色,アタック,SRP,448,NCBP308_0
BP03-108,ソニックチェイサー,アタック,SRP,449,NCBP315_0
BP03-109,強奪の宴,アタック,SRP,450,NCBP322_0
BP03-110,メカニカルエキスパート,メモリア,SRP,451,NCBP329_0
BP03-111,参拝・乾杯・超喝采,メモリア,SRP,452,NCBP336_0
BP03-112,We are...!,メモリア,SRP,453,NCBP343_0
BP03-113,ジェイルブレイク,メモリア,SRP,454,NCBP350_0
BP04-001,うぉっか,リーダー,LR,482,LC57_0
BP04-002,昏昏アリア,リーダー,LR,483,LC58_0
BP04-003,夢野あかり,リーダー,LR,484,LC59_0
BP04-004,らいじん,リーダー,LR,485,LC60_0
BP04-005,神楽めあ,リーダー,LR,486,LC61_0
BP04-006,白波らむね,リーダー,LR,487,LC62_0
BP04-007,まざー3,リーダー,LR,488,LC63_0
BP04-008,夜乃くろむ,リーダー,LR,489,LC64_0
BP04-009,おぼ,リーダー,LR,490,LC65_0
BP04-010,千燈ゆうひ,リーダー,LR,491,LC66_0
BP04-011,龍巻ちせ,リーダー,LR,492,LC67_0
BP04-012,とおこ,リーダー,LR,493,LC68_0
BP04-013,乾伸一郎,リーダー,LR,494,LC69_0
BP04-014,銀城サイネ,リーダー,LR,495,LC70_0
BP04-015,じゃすぱー,リーダー,LR,496,LC71_0
BP04-016,天帝フォルテ,リーダー,LR,497,LC72_0
BP04-017,慈悲の刃,アタック,SR,498,NCBP401
BP04-018,1TAP,アタック,UC,499,NCBP402
BP04-019,バッドカンパニー,アタック,C,500,NCBP403
BP04-020,ワールドクラス,アタック,R,501,NCBP404
BP04-021,攻防一体　,アタック,UC,502,NCBP405
BP04-022,タレットマスタリー,アタック,C,503,NCBP406
BP04-023,天衣無縫,アタック,C,504,NCBP407
BP04-024,オーバードライブ,アタック,SR,505,NCBP408
BP04-025,伝説のアルバム,アタック,UC,506,NCBP409
BP04-026,コンセントレイト,アタック,C,507,NCBP410
BP04-027,古の呪い,アタック,R,508,NCBP411
BP04-028,シンクロトリニティ,アタック,C,509,NCBP412
BP04-029,一斧両断,アタック,C,510,NCBP413
BP04-030,シールドスラム,アタック,UC,511,NCBP414
BP04-031,テラーエンゲージ,アタック,SR,512,NCBP415
BP04-032,ビリオンシャワー,アタック,UC,513,NCBP416
